threshold,precision,recall,f1
0.75,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.76,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.77,0.9850746268656716,0.9166666666666666,0.9496402877697842
0.78,0.9848484848484849,0.9027777777777778,0.9420289855072463
0.79,0.9848484848484849,0.9027777777777778,0.9420289855072463
0.8,0.9848484848484849,0.9027777777777778,0.9420289855072463
0.81,0.9848484848484849,0.9027777777777778,0.9420289855072463
0.8200000000000001,0.984375,0.875,0.9264705882352942
0.8300000000000001,0.9841269841269841,0.8611111111111112,0.9185185185185185
0.8400000000000001,0.9838709677419355,0.8472222222222222,0.9104477611940298
0.85,0.9836065573770492,0.8333333333333334,0.9022556390977443
0.86,0.9830508474576272,0.8055555555555556,0.8854961832061069
0.87,0.9830508474576272,0.8055555555555556,0.8854961832061069
0.88,1.0,0.8055555555555556,0.8923076923076924
0.89,1.0,0.7916666666666666,0.8837209302325582
0.9,1.0,0.7916666666666666,0.8837209302325582
0.91,1.0,0.7638888888888888,0.8661417322834646
0.92,1.0,0.75,0.8571428571428571
0.93,1.0,0.7222222222222222,0.8387096774193549
0.9400000000000001,1.0,0.7222222222222222,0.8387096774193549
